"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-02","14.54","0.14","0.0","0.0","76"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-03","9.84","0.00","0.0","0.0","75"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-04","9.40","0.19","0.0","0.0","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-05","6.04","0.00","0.0","0.0","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-06","4.92","0.00","0.0","0.0","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-07","7.61","0.08","0.0","0.0","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-08","14.09","0.23","0.0","0.0","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-09","8.50","0.00","0.0","0.0","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-10","10.29","1.26","0.0","0.0","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-11","7.38","0.52","0.0","0.0","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-12","10.07","0.00","0.0","0.0","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-13","9.84","0.00","0.0","0.0","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-14","8.28","0.00","0.0","0.0","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-15","15.66","0.00","0.0","0.0","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-16","8.72","0.00","0.0","0.0","78"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-17","12.53","0.00","0.0","0.0","82"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-18","10.29","0.65","0.0","0.0","78"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-19","8.28","0.32","0.0","0.0","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-20","8.50","0.01","0.0","0.0","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-21","7.38","1.28","0.0","0.0","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-22","4.92","0.00","0.0","0.0","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06-23","5.59","0.05","0.0","0.0","71"
